rwrmedb01a,127.0.0.1 10.150.95.61,bin,Etienne Rwakineza,SA,2022-03-23,2021-12-23,Scripts,29,29,2022-03-23,Etienne Rwakineza,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,shutdown,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,ersuser,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,seamless_emmanuel,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,rwihimbaff,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,daemon,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,adm,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,lp,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,sync,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,halt,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,mail,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,operator,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,games,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,ftp,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01a,127.0.0.1 10.150.95.61,systemd-network,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,dbus,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,polkitd,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,postfix,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,chrony,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,nagios,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,puppet,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,munin,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,ntp,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,rpc,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,tcpdump,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,ansible,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,nessus01,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,tss,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01a,127.0.0.1 10.150.95.61,servicenw,,,2022-03-23,2021-12-23,,,,,,,LCK
