rwrmedb01b,127.0.0.1 10.150.95.62,bin,Etienne Rwakineza,SA,2022-03-23,2021-12-23,Scripts,27,27,2022-03-23,Etienne Rwakineza,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,shutdown,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,ersuser,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,seamless_emmanuel,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,rwihimbaff,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,daemon,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,adm,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,lp,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,sync,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,halt,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,mail,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,operator,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,games,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,ftp,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01b,127.0.0.1 10.150.95.62,systemd-network,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,dbus,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,polkitd,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,postfix,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,chrony,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,puppet,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,ntp,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,rpc,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,admin,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,munin,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,nagios,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,tss,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01b,127.0.0.1 10.150.95.62,servicenw,,,2022-03-23,2021-12-23,,,,,,,LCK
