rwrmedb01f,127.0.0.1 10.150.95.66,bin,Etienne Rwakineza,SA,2022-03-23,2021-12-23,Scripts,29,29,2022-03-23,Etienne Rwakineza,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,shutdown,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,ersuser,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,daemon,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,adm,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,lp,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,sync,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,halt,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,mail,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,operator,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,games,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,ftp,,,2022-03-23,2021-12-23,,,,,,,NLCK
rwrmedb01f,127.0.0.1 10.150.95.66,systemd-network,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,dbus,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,polkitd,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,postfix,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,chrony,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,nrpe,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,puppet,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,munin,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,ntp,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,rpc,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,seamless_emmanuel,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,rpcuser,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,nfsnobody,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,ansible,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,tss,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,servicenw,,,2022-03-23,2021-12-23,,,,,,,LCK
rwrmedb01f,127.0.0.1 10.150.95.66,rwihimbaff,,,2022-03-23,2021-12-23,,,,,,,LCK
